Building_ID,Occupants,Roof_Area_m2,Pot_Harvest_2026_L,Collected_2026_L,Total_Demand_2026_L,Supplied_2026_L,Coverage_2026_Pct,Savings_2026_EUR,Coverage_2014_Pct,Coverage_2030_Pct,Coverage_ThisWeek_Pct,Coverage_NextWeek_Pct,Cap_5m3_Cov,Cap_20m3_Cov
B01,2,60.0,42421.8,29288.5,42340.0,33962.6,80.21,81.38,81.66,81.76,95.55,77.29,74.31,92.02
B02,3,62.2,43977.3,30362.4,63510.0,35078.3,55.23,84.05,56.15,56.21,65.78,53.16,51.3,63.11
B03,1,56.8,40159.3,27726.5,21170.0,21170.0,100.0,50.73,100.0,100.0,100.0,100.0,100.0,100.0
B04,2,65.5,46310.5,31973.3,42340.0,36606.9,86.46,87.71,88.06,88.17,100.0,83.42,80.55,98.27
B05,4,59.0,41714.8,28800.4,84680.0,33597.9,39.68,80.5,40.25,40.3,47.07,38.09,36.72,45.58
B06,3,63.4,44825.7,30948.2,63510.0,35655.3,56.14,85.43,57.08,57.15,66.92,54.05,52.2,64.01
B07,1,61.2,43270.2,29874.3,21170.0,21170.0,100.0,50.73,100.0,100.0,100.0,100.0,100.0,100.0
