Building_I,Occupants,Roof_m2,Cov_2014_Pct,Unmet_2014_L,Overflow_2014_L,Savings_2014_EUR,Cov_2026_Pct,Unmet_2026_L,Overflow_2026_L,Savings_2026_EUR,Supply_ThisWeek_L,Supply_NextWeek_L
B01,2,60.0,84.25,6668.9,0.0,85.47,80.67,8184.6,0.0,81.84,812.0,812.0
B02,3,62.2,57.65,26897.6,0.0,87.73,55.24,28426.3,0.0,84.06,1218.0,1218.0
B03,1,56.8,100.0,0.0,0.0,50.73,100.0,0.0,0.0,50.73,406.0,406.0
B04,2,65.5,89.69,4363.2,0.0,91.0,85.85,5991.6,0.0,87.09,812.0,812.0
B05,4,59.0,41.62,49436.7,0.0,84.45,39.91,50886.7,0.0,80.97,1624.0,1624.0
B06,3,63.4,58.46,26384.2,0.0,88.96,56.0,27942.3,0.0,85.22,1218.0,1218.0
B07,1,61.2,100.0,0.0,0.0,50.73,100.0,0.0,0.0,50.73,406.0,406.0
