Building_I,Occupants,Area_m2,Type,Pot_Harvest_2026_L,Collected_2026_L,Total_Demand_2026_L,Toilet_Demand_2026_L,Cleaning_Demand_2026_L,Laundry_Demand_2026_L,Irrig_Demand_2026_L,Supplied_2026_L,Coverage_2026_Pct,Capture_Rate_2026_Pct,Reuse_Rate_2026_Pct,Runoff_Red_2026_Pct,Savings_2026_EUR,Unmet_2026_L,Overflow_2026_L,Empty_Days_2026,Avg_Storage_2026_L,Coverage_2014_Pct,Savings_2014_EUR,Coverage_2030_Pct,Savings_2030_EUR,Collected_ThisWeek_L,Demand_ThisWeek_L,Supplied_ThisWeek_L,Coverage_ThisWeek_Pct,Collected_NextWeek_L,Demand_NextWeek_L,Supplied_NextWeek_L,Coverage_NextWeek_Pct,Cap_5m3_Cov_Pct,Cap_10m3_Cov_Pct,Cap_20m3_Cov_Pct,Equity_Index,Shared_1Tank_Coverage_Pct
B01,2,60.0,Building,46679.3,32228.0,42340.0,21900.0,7300.0,13140.0,0.0,37135.7,87.71,69.04,115.23,79.55,88.98,5204.3,0.0,71,2170.0,78.91,80.06,72.82,73.88,40888.5,48024.0,45888.5,95.55,32116.8,48024.0,37116.8,77.29,81.8,87.71,99.52,0.73,70.67
B02,3,62.2,Building,48390.9,33409.7,63510.0,32850.0,10950.0,19710.0,0.0,38367.8,60.41,69.04,114.84,79.29,91.93,25142.2,0.0,212,663.3,54.62,83.11,50.51,76.86,42387.7,72036.0,47387.7,65.78,33294.4,72036.0,38294.4,53.16,56.48,60.41,68.28,0.73,70.67
B03,1,56.8,Building,44189.7,30509.1,21170.0,10950.0,3650.0,6570.0,0.0,21170.0,100.0,69.04,69.39,47.91,50.73,0.0,4539.6,0,9198.8,100.0,50.73,100.0,50.73,38707.8,24012.0,24012.0,100.0,30403.9,24012.0,24012.0,100.0,100.0,100.0,100.0,0.73,70.67
B04,2,65.5,Building,50958.2,35182.2,42340.0,21900.0,7300.0,13140.0,0.0,40070.9,94.64,69.04,113.9,78.63,96.01,2269.1,0.0,33,3169.3,84.86,86.1,78.13,79.27,44636.6,48024.0,48024.0,100.0,35060.8,48024.0,40060.8,83.42,88.74,94.64,100.0,0.73,70.67
B05,4,59.0,Building,45901.3,31690.8,84680.0,43800.0,14600.0,26280.0,0.0,36690.8,43.33,69.04,115.78,79.93,87.92,47989.2,0.0,287,311.5,39.16,79.45,36.25,73.56,40207.0,96048.0,45207.0,47.07,31581.5,96048.0,36581.5,38.09,40.38,43.33,49.23,0.73,70.67
B06,3,63.4,Building,49324.5,34054.2,63510.0,32850.0,10950.0,19710.0,0.0,39008.2,61.42,69.04,114.55,79.08,93.47,24501.8,0.0,208,685.1,55.52,84.48,51.33,78.11,43205.5,72036.0,48205.5,66.92,33936.8,72036.0,38936.8,54.05,57.48,61.42,69.29,0.73,70.67
B07,1,61.2,Building,47612.9,32872.5,21170.0,10950.0,3650.0,6570.0,0.0,21170.0,100.0,69.04,64.4,44.46,50.73,0.0,6774.7,0,9327.2,100.0,50.73,100.0,50.73,41706.3,24012.0,24012.0,100.0,32759.1,24012.0,24012.0,100.0,100.0,100.0,100.0,0.73,70.67
CY001,0,33.169,Courtyard,25805.1,17816.2,12343.6,0.0,0.0,0.0,12343.6,12343.6,100.0,69.04,69.28,47.83,29.58,0.0,1217.3,0,8196.1,100.0,29.58,100.0,29.58,22603.8,12343.6,12343.6,100.0,17754.7,12343.6,12343.6,100.0,100.0,100.0,100.0,0.73,70.67
